ID,Nombre,Descripción,TipoZona,,Arriba,Abajo,Izquierda,Derecha,EsFinal,Tienda
1,Pueblo IBC,Un lugar tranquilo donde la vida diaria transcurre en armonía entre sus amables habitantes siendo un entorno lleno de naturaleza,,,-1,4,3,2,No,Si
2,Ruta 1,Un camino serpenteante que invita a los viajeros a descubrir secretos escondidos y paisajes impresionantes,,,-1,-1,1,6,No,No
3,Ruta 2,Un sendero fresco donde las hojas susurran historias antiguas mientras el viento acaricia suavemente el rostro,,,-1,-1,41,1,No,No
4,Ruta 3,Un pasaje misterioso que se adentra en lo desconocido lleno de aventuras por descubrir,,,1,35,-1,-1,No,No
5,Ciudad en Ruinas,Una metrópolis olvidada cubierta por la historia donde las llamas eternas iluminan sus calles desiertas,Fuego,,8,11,7,10,No,No
6,Pradera Ígnea,Una vasta extensión de pastizales donde el fuego danza con el viento creando un espectáculo hipnótico,Fuego,,-1,7,2,8,No,No
7,Piso 2 IBC,Un nivel elevado repleto de desafíos y sorpresas para aquellos valientes que buscan el conocimiento,Fuego,,6,-1,-1,5,No,No
8,Montaña,Una imponente cumbre que toca el cielo y ofrece vistas majestuosas acompañadas del aroma fresco del bosque,Fuego,,9,5,6,10,No,No
9,Volcán,Un coloso dormido lleno de energía latente que guarda tesoros bajo su superficie ardiente,Fuego,,23,8,-1,10,No,No
10,Camino Destrozado,Un sendero marcado por batallas pasadas donde la naturaleza lentamente reclama su espacio,Fuego,,9,5,8,13,No,No
11,Cueva Oscura,Un refugio profundo y silencioso donde la luz apenas alcanza y los secretos esperan ser revelados,,,5,-1,35,12,No,No
12,Pradera Brasil,Un paraíso verde donde flores exóticas y fauna diversa crean un ambiente lleno de vida y color,Planta,,13,11,-1,-1,No,No
13,Ruta 5,Un camino tranquilo que conecta paisajes diversos invitando a los viajeros a perderse en su belleza,,,-1,12,10,14,No,No
14,Pueblo Ratón,Un pequeño puerto pesquero lleno de encanto donde las olas susurran canciones antiguas,,,-1,-1,13,15,No,Si
15,Pescadería,Un lugar bullicioso donde el aroma del mar y las risas de los pescadores llenan el aire de alegría,,,-1,17,14,16,No,No
16,Valle Aguoso,Un valle misterioso donde las aguas cristalinas reflejan los sueños y leyendas del pasado,,,-1,17,15,-1,No,No
17,Cueva Inundada,Un laberinto sumergido donde la aventura y el misterio se entrelazan bajo el manto del agua,Agua,,15,-1,18,16,No,No
